,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
26,Isangel,-19.55,169.2667,75.31,60,75,18.41,VU,1627680899
27,Bethel,41.3712,-73.414,80.96,53,20,3.0,US,1627680901
28,Kapaa,22.0752,-159.319,86.32,68,90,3.0,US,1627680903
29,Yenagoa,4.9247,6.2642,76.41,80,88,5.39,NG,1627680904
30,Gubkinskiy,64.434,76.5026,48.92,80,87,6.98,RU,1627680905
31,Pangnirtung,66.1451,-65.7125,50.0,87,75,4.61,CA,1627680905
32,Tasiilaq,65.6145,-37.6368,50.16,79,20,1.03,GL,1627680906
33,Rikitea,-23.1203,-134.9692,72.55,72,80,9.69,PF,1627680907
34,Bluff,-46.6,168.3333,48.79,91,100,10.0,NZ,1627680907
35,Harper,4.375,-7.7169,77.02,83,64,10.16,LR,1627680908
36,Tombouctou,20.0,-3.0,93.34,33,86,4.34,ML,1627680908
37,Nānākuli,21.3906,-158.1547,84.15,61,40,12.66,US,1627680909
38,Mount Isa,-20.7333,139.5,51.57,58,5,1.14,AU,1627680909
39,Jumla,29.2747,82.1838,60.57,99,100,2.13,NP,1627680910
40,Cape Town,-33.9258,18.4232,55.27,94,0,2.3,ZA,1627680911
41,Mossamedes,-15.1961,12.1522,66.81,88,35,5.39,AO,1627680911
42,Saint-Pierre,-21.3393,55.4781,67.68,83,90,10.36,RE,1627680912
43,Geraldton,-28.7667,114.6,57.61,67,75,17.27,AU,1627680913
44,Port Alfred,-33.5906,26.891,57.9,74,29,5.86,ZA,1627680913
45,Olafsvik,64.8945,-23.7142,56.57,85,100,1.95,IS,1627680914
46,Watrous,51.6668,-105.4679,83.98,26,1,13.8,CA,1627680915
47,Alvorada,-12.48,-49.1247,81.91,25,4,1.95,BR,1627680915
48,New Norfolk,-42.7826,147.0587,53.1,65,82,1.01,AU,1627680916
49,Chicama,-7.8447,-79.1469,64.94,68,45,9.22,PE,1627680916
50,Khatanga,71.9667,102.5,73.6,47,25,9.86,RU,1627680917
51,Tabas,33.5959,56.9244,83.17,25,0,4.25,IR,1627680918
52,Bredasdorp,-34.5322,20.0403,47.52,93,3,2.3,ZA,1627680918
53,East London,-33.0153,27.9116,58.8,68,8,5.3,ZA,1627680919
54,Cabo San Lucas,22.8909,-109.9124,98.51,65,1,3.0,MX,1627680716
55,Avera,33.194,-82.5271,96.71,34,17,7.2,US,1627680920
56,Portland,45.5234,-122.6762,99.86,34,75,1.99,US,1627680426
57,Yellowknife,62.456,-114.3525,77.52,44,75,10.36,CA,1627680901
58,Ambilobe,-13.2,49.05,66.6,73,12,4.45,MG,1627680921
59,Port Elizabeth,-33.918,25.5701,50.29,93,40,5.75,ZA,1627680922
60,Busselton,-33.65,115.3333,42.08,76,97,12.82,AU,1627680922
61,Salym,60.0625,71.4789,52.3,100,100,4.03,RU,1627680923
62,Pevek,69.7008,170.3133,32.85,90,100,13.71,RU,1627680924
63,Airai,-8.9266,125.4092,56.64,72,57,2.55,TL,1627680924
64,Atuona,-9.8,-139.0333,77.22,76,37,16.93,PF,1627680925
65,Klaksvík,62.2266,-6.589,47.32,81,100,19.04,FO,1627680925
66,Nouakchott,18.0858,-15.9785,75.13,76,5,16.51,MR,1627680926
67,Laguna,38.421,-121.4238,105.6,28,1,4.0,US,1627680731
68,Jamestown,42.097,-79.2353,71.1,63,2,5.99,US,1627680684
69,Mataura,-46.1927,168.8643,48.47,99,100,1.74,NZ,1627680927
70,Castro,-24.7911,-50.0119,40.95,64,97,4.63,BR,1627680928
71,Cumana,10.4635,-64.1775,81.45,80,23,9.64,VE,1627680929
72,Saint-Philippe,-21.3585,55.7679,67.59,76,75,16.06,RE,1627680929
73,Taoudenni,22.6783,-3.9836,95.61,31,17,13.33,ML,1627680930
74,Iqaluit,63.7506,-68.5145,55.13,58,90,4.61,CA,1627680931
75,Ranong,9.9658,98.6348,79.54,88,100,12.93,TH,1627680931
76,Tuktoyaktuk,69.4541,-133.0374,64.4,72,75,17.27,CA,1627680932
77,Orange Cove,36.6244,-119.3137,105.93,25,1,5.75,US,1627680933
78,Tiksi,71.6872,128.8694,47.97,74,40,7.54,RU,1627680933
79,Norman Wells,65.282,-126.8329,80.64,39,20,9.22,CA,1627680934
80,Pacifica,37.6138,-122.4869,98.53,73,20,1.99,US,1627680934
81,Aykhal,66.0,111.5,65.37,44,0,3.96,RU,1627680935
82,Kavieng,-2.5744,150.7967,82.56,77,63,7.67,PG,1627680935
83,Tateyama,34.9833,139.8667,80.02,81,3,6.42,JP,1627680936
84,Forsytheganj,52.6333,29.7333,67.39,63,88,4.81,BY,1627680937
85,Hobart,-42.8794,147.3294,53.46,69,75,1.01,AU,1627680667
86,Hermanus,-34.4187,19.2345,53.91,85,0,2.95,ZA,1627680938
87,Port Hardy,50.6996,-127.4199,62.78,82,20,6.91,CA,1627680939
88,Katsuura,35.1333,140.3,80.11,82,10,9.71,JP,1627680939
89,Ryōtsu-minato,38.0833,138.4333,78.76,79,4,1.99,JP,1627680940
90,Auki,-8.7676,160.7034,81.3,78,97,3.58,SB,1627680940
91,Osakarovka,50.565,72.5692,60.51,42,67,7.29,KZ,1627680941
92,Marzuq,14.4,46.4667,75.67,64,92,8.14,YE,1627680942
93,Tiznit Province,29.5833,-9.5,79.86,45,12,2.15,MA,1627680942
94,Atambua,-9.1061,124.8925,68.94,83,64,4.16,ID,1627680943
95,Ribeira Grande,38.5167,-28.7,71.56,85,9,8.84,PT,1627680944
96,Thinadhoo,0.5333,72.9333,81.59,74,87,2.82,MV,1627680944
97,Mahébourg,-20.4081,57.7,70.09,64,40,12.66,MU,1627680945
98,Saint Paul Harbor,57.79,-152.4072,54.93,80,100,4.83,US,1627680945
99,Barra do Corda,-5.5,-45.25,84.49,52,95,5.82,BR,1627680946
100,La Ronge,55.1001,-105.2842,77.22,44,75,8.05,CA,1627680947
101,Carnarvon,-24.8667,113.6333,60.87,60,75,19.57,AU,1627680947
102,Vallenar,-28.5708,-70.7581,68.7,22,0,3.65,CL,1627680948
103,Saint George,37.1041,-113.5841,95.63,33,1,1.99,US,1627680873
104,São Filipe,14.8961,-24.4956,75.88,84,54,7.23,CV,1627680949
105,Buraidah,26.326,43.975,91.85,12,48,8.72,SA,1627680950
106,Svetlaya,46.5389,138.3297,65.64,98,100,11.79,RU,1627680951
107,Sitka,57.0531,-135.33,67.89,64,40,14.97,US,1627680789
108,Longyearbyen,78.2186,15.6401,39.04,70,75,12.66,SJ,1627680952
109,Dhemāji,27.4833,94.5833,76.01,94,100,3.06,IN,1627680952
110,Nemuro,43.3236,145.575,68.16,96,92,4.76,JP,1627680953
111,Nome,64.5011,-165.4064,50.16,100,90,3.44,US,1627680953
112,Egvekinot,66.3167,-179.1667,36.27,95,100,4.29,RU,1627680954
113,Vao,-22.6667,167.4833,67.6,56,1,25.01,NC,1627680955
114,Constitución,-35.3333,-72.4167,53.4,84,60,12.91,CL,1627680956
115,Qaanaaq,77.484,-69.3632,42.22,89,99,2.82,GL,1627680956
116,Bathsheba,13.2167,-59.5167,84.81,74,40,18.41,BB,1627680957
117,Fortuna,40.5982,-124.1573,72.86,76,20,12.66,US,1627680937
118,Takoradze,4.8845,-1.7554,75.99,88,94,6.76,GH,1627680958
119,Pontian Kecil,1.4801,103.3899,84.29,79,71,2.26,MY,1627680959
120,Kembé,4.6228,21.8865,69.64,95,97,2.46,CF,1627680960
121,Puerto Ayora,-0.7393,-90.3518,75.16,92,73,7.0,EC,1627680960
122,La Plata,-34.9215,-57.9545,58.91,59,0,11.34,AR,1627680846
123,Chimoio,-19.1164,33.4833,53.53,95,0,3.58,MZ,1627680961
124,Butaritari,3.0707,172.7902,81.77,74,94,6.06,KI,1627680962
125,Pampierstad,-27.7832,24.6877,47.97,20,0,6.98,ZA,1627680962
126,Nikolskoye,59.7035,30.7861,63.01,66,21,8.03,RU,1627680963
127,Laas,46.6166,10.7002,71.51,87,63,1.68,IT,1627680964
128,Banjar,-8.19,114.9675,78.66,89,7,7.18,ID,1627680964
129,Chokurdakh,70.6333,147.9167,57.04,49,100,12.55,RU,1627680965
130,Champerico,14.3,-91.9167,91.94,72,100,7.96,GT,1627680965
131,Pyinmana,19.7333,96.2167,75.02,97,98,5.12,MM,1627680966
132,Kloulklubed,7.0419,134.2556,83.98,73,100,5.12,PW,1627680967
133,Panzhihua,26.5851,101.7128,69.73,98,100,5.28,CN,1627680968
134,Grand Gaube,-20.0064,57.6608,70.2,70,69,4.0,MU,1627680968
135,Yerbogachën,61.2767,108.0108,56.26,61,7,5.23,RU,1627680969
136,Chanute,37.6792,-95.4572,96.91,38,20,9.22,US,1627680970
137,Smithers,54.7804,-127.1743,82.72,34,20,6.91,CA,1627680970
138,Jiazi,22.8779,116.067,81.77,85,99,13.47,CN,1627680971
139,Fort Nelson,58.8053,-122.7002,81.99,30,20,5.75,CA,1627680971
140,Garmsār,35.2182,52.3409,87.17,30,85,10.83,IR,1627680972
141,Launceston,-41.45,147.1667,51.62,85,90,11.99,AU,1627680973
142,Kaitangata,-46.2817,169.8464,52.93,83,96,4.38,NZ,1627680973
143,Camacha,33.0833,-16.3333,70.54,73,75,14.97,PT,1627680769
144,Petropavlovsk-Kamchatskiy,53.0452,158.6483,54.19,100,90,13.42,RU,1627680676
145,Ugoofaaru,5.6667,73.0,82.2,75,86,9.73,MV,1627680974
146,Makarov,48.6333,142.8,66.0,99,87,7.16,RU,1627680975
147,Esperance,-33.8667,121.9,40.84,85,68,11.59,AU,1627680977
148,Buchanan,5.8808,-10.0467,78.76,86,34,8.57,LR,1627680977
149,Sur,22.5667,59.5289,90.66,55,98,17.4,OM,1627680978
150,Fountain Hills,33.6117,-111.7174,103.87,27,1,5.99,US,1627680926
151,Green River,41.5286,-109.4662,85.19,38,65,1.99,US,1627680979
152,Portel,-1.9356,-50.8211,77.41,85,50,1.3,BR,1627680979
153,Hokitika,-42.7167,170.9667,53.92,79,100,3.4,NZ,1627680980
154,Dunedin,-45.8742,170.5036,51.8,87,97,4.0,NZ,1627680981
155,Uppsala County,60.0,17.75,60.62,79,26,4.61,SE,1627680981
156,Boyolangu,-8.1181,111.8935,73.98,92,68,6.06,ID,1627680982
157,Abrau-Dyurso,44.69,37.59,67.46,70,0,1.3,RU,1627680982
158,Port-Gentil,-0.7193,8.7815,76.96,83,40,10.36,GA,1627680983
159,Saskylakh,71.9167,114.0833,74.14,45,11,6.62,RU,1627680983
160,East Brainerd,34.9959,-85.1502,95.7,58,40,1.01,US,1627680984
161,Istanbul,41.0351,28.9833,85.42,39,0,5.75,TR,1627680752
162,Morondava,-20.2833,44.2833,70.5,66,18,9.26,MG,1627680985
163,Dingle,10.9995,122.6711,78.08,90,100,7.2,PH,1627680986
164,Ixtapa,20.7,-105.2,87.03,74,90,10.36,MX,1627680986
165,Hamilton,39.1834,-84.5333,85.08,50,20,1.99,US,1627680987
166,Lañgub,10.7981,123.5372,79.59,80,88,4.99,PH,1627680987
167,Nova Iguaçu,-22.7592,-43.4511,62.35,63,40,8.05,BR,1627680988
168,Sechura,-5.5569,-80.8222,75.24,62,87,15.66,PE,1627680989
169,Lima,-12.0432,-77.0282,64.9,79,90,8.05,PE,1627680853
170,Dengzhou,37.8086,120.7508,75.31,90,100,15.46,CN,1627680990
171,Darovskoy,58.77,47.9564,64.26,73,99,4.12,RU,1627680991
172,Kiruna,67.8557,20.2251,52.72,82,90,3.44,SE,1627680991
173,Pisco,-13.7,-76.2167,64.45,72,20,16.11,PE,1627680890
174,Kutum,14.2,24.6667,74.59,68,92,12.03,SD,1627680993
175,Laredo,27.5064,-99.5075,100.85,37,1,6.91,US,1627680993
176,Lebu,-37.6167,-73.65,50.58,93,100,11.01,CL,1627680994
177,Dourbali,11.8091,15.8632,79.99,74,86,5.06,TD,1627680994
178,Huarmey,-10.0681,-78.1522,67.28,77,9,11.92,PE,1627680995
179,Wajima,37.4,136.9,79.7,80,0,2.04,JP,1627680995
180,Mhlume,-26.0333,31.85,51.87,90,0,2.24,SZ,1627680996
181,Tazovsky,67.4667,78.7,47.12,83,8,8.68,RU,1627680997
182,Labuhan,-6.8844,112.2051,76.01,84,5,5.79,ID,1627680998
183,Deputatsky,69.3,139.9,60.22,39,90,7.34,RU,1627680999
184,Padang,-0.9492,100.3543,76.32,84,79,3.49,ID,1627680709
185,Jvara,41.5251,44.3472,57.94,77,1,4.56,GE,1627681000
186,Palauig,15.435,119.9045,80.65,88,100,10.63,PH,1627681000
187,Verkhnyaya Maksakovka,61.635,50.9674,57.22,100,20,2.24,RU,1627681001
188,Ancud,-41.8697,-73.8203,49.53,74,3,8.43,CL,1627681001
189,Puerto Quijarro,-17.7833,-57.7667,67.3,21,8,3.67,BO,1627681002
190,Talnakh,69.4865,88.3972,58.19,90,100,6.33,RU,1627681002
191,Cherskiy,68.75,161.3,34.97,89,100,6.08,RU,1627681003
192,Goderich,43.7501,-81.7165,66.04,59,0,12.66,CA,1627680928
193,Vila Franca do Campo,37.7167,-25.4333,72.01,88,9,5.68,PT,1627681004
194,Severo-Kuril'sk,50.6789,156.125,56.66,94,99,9.91,RU,1627681005
195,Powell River,49.8496,-124.5361,97.09,42,1,6.91,CA,1627681005
196,Naze,28.3667,129.4833,77.76,83,100,2.44,JP,1627681006
197,Torrington,41.8007,-73.1212,78.98,49,17,4.0,US,1627681006
198,Rawson,-43.3002,-65.1023,52.57,39,100,18.43,AR,1627681007
199,Iquique,-20.2208,-70.1431,60.84,82,100,1.43,CL,1627680977
200,Presidente Médici,-11.1753,-61.9014,76.86,29,0,3.51,BR,1627681009
201,Arraial do Cabo,-22.9661,-42.0278,67.96,59,0,14.97,BR,1627681009
202,Hilo,19.7297,-155.09,83.93,64,40,11.5,US,1627680542
203,Alugan,12.2188,125.4808,81.72,78,100,7.81,PH,1627681010
204,Rabo de Peixe,37.8,-25.5833,71.11,78,20,4.61,PT,1627681011
205,Dikson,73.5069,80.5464,41.97,98,100,9.15,RU,1627681011
206,Alice Springs,-23.7,133.8833,60.35,33,0,8.05,AU,1627681012
207,Chibombo,-14.6569,28.0706,54.81,54,14,5.97,ZM,1627681013
208,Bulalacao,12.3254,121.3435,81.73,83,100,14.79,PH,1627681013
209,Juba,4.8517,31.5825,69.55,94,100,2.48,SS,1627681014
210,Hasaki,35.7333,140.8333,75.29,79,1,11.27,JP,1627681015
211,Fort Abbas,29.1925,72.8536,93.6,49,1,6.67,PK,1627681015
212,Kahului,20.8947,-156.47,87.96,64,40,24.16,US,1627681016
213,Chui,-33.6971,-53.4616,46.0,73,0,5.99,UY,1627681016
214,La Orilla,17.9833,-102.2333,85.51,68,76,7.78,MX,1627681017
215,Salisbury,51.0693,-1.7957,61.5,87,75,11.5,GB,1627681017
216,Phuntsholing,26.8516,89.3884,76.68,98,100,3.13,BT,1627681018
217,Moïssala,8.3404,17.7663,72.61,93,100,0.22,TD,1627681019
218,Pochutla,15.7432,-96.4661,90.82,59,86,6.96,MX,1627681019
219,Krapivinskiy,54.9992,86.8133,55.04,96,21,1.45,RU,1627681020
220,Khandagayty,50.7333,92.05,55.17,80,100,13.33,RU,1627681020
221,Oranjestad,12.524,-70.027,85.95,70,20,24.16,AW,1627680911
222,George Town,5.4112,100.3354,77.9,93,20,1.99,MY,1627681022
223,Derbent,42.0678,48.2899,74.43,56,0,4.0,RU,1627681022
224,Nelson Bay,-32.7167,152.15,47.68,51,1,5.03,AU,1627680806
225,Adrar,20.5022,-10.0711,98.06,20,76,7.74,MR,1627681023
226,Pimentel,-6.8367,-79.9342,71.89,78,40,7.0,PE,1627681024
227,Maumere,-8.6199,122.2111,77.68,84,85,9.89,ID,1627681024
228,Inhambane,-23.865,35.3833,65.52,72,0,9.44,MZ,1627681025
229,Funtua,11.5233,7.3081,67.32,97,72,6.4,NG,1627681026
230,Lüderitz,-26.6481,15.1594,67.5,32,0,5.61,NA,1627681026
231,Srednekolymsk,67.45,153.6833,48.94,52,100,11.27,RU,1627681027
232,Sola,-13.8833,167.55,77.67,89,75,4.61,VU,1627681027
233,Joigny,47.9829,3.401,60.82,70,5,4.74,FR,1627681028
234,Honiara,-9.4333,159.95,82.06,78,81,1.79,SB,1627681029
235,Marathon,44.9,-89.7668,73.96,62,1,1.01,US,1627681029
236,Port Hedland,-20.3167,118.5667,62.65,94,3,8.05,AU,1627681030
237,San Ramon,37.7799,-121.978,100.83,37,1,10.0,US,1627680910
238,Hailey,43.5196,-114.3153,87.66,30,1,8.05,US,1627681031
239,Broome,42.2506,-75.833,70.61,59,20,5.01,US,1627681031
240,Flinders,-34.5833,150.8552,52.38,58,51,1.01,AU,1627681032
241,Torbay,47.6666,-52.7314,66.27,58,90,20.71,CA,1627681032
242,Chernyshevskiy,63.0128,112.4714,56.52,56,0,2.39,RU,1627681033
243,Moroni,-11.7022,43.2551,74.88,65,0,3.87,KM,1627681034
244,São José da Coroa Grande,-8.8978,-35.1478,74.84,85,64,9.22,BR,1627681035
245,Bambous Virieux,-20.3428,57.7575,70.05,64,40,12.66,MU,1627681036
246,Te Anau,-45.4167,167.7167,45.03,95,100,3.22,NZ,1627681037
247,Ketchikan,55.3422,-131.6461,72.07,64,1,8.05,US,1627680919
248,Riyadh,24.6877,46.7219,96.94,14,100,4.76,SA,1627680985
249,Lorengau,-2.0226,147.2712,83.01,73,52,3.36,PG,1627681038
250,Tegul'det,57.3064,88.1667,49.32,96,8,4.54,RU,1627681039
251,Ishigaki,24.3448,124.1572,82.53,89,75,12.66,JP,1627681040
252,Khanbari,27.3747,87.2039,72.82,97,100,1.9,NP,1627681040
253,Lakatoro,-16.0999,167.4164,77.38,63,11,7.54,VU,1627681041
254,Kruisfontein,-34.0033,24.7314,51.48,76,7,7.09,ZA,1627681041
255,Pakokku,21.3333,95.1,80.31,78,99,14.2,MM,1627681042
256,Pacific Grove,36.6177,-121.9166,92.8,77,1,4.0,US,1627680797
257,Doha,25.2867,51.5333,93.18,57,0,2.3,QA,1627681043
258,Hof,50.3167,11.9167,65.57,66,58,4.0,DE,1627681044
259,Esim,4.8699,-2.2405,76.35,87,75,6.26,GH,1627681044
260,Kiama,-34.6833,150.8667,56.68,55,49,5.01,AU,1627680802
261,Lokoja,7.8024,6.743,74.61,93,100,2.68,NG,1627680915
262,Tulum,20.2167,-87.4667,87.93,65,99,8.55,MX,1627681045
263,Ruwi,23.5996,58.5507,101.89,49,86,6.85,OM,1627681046
264,Wanaka,-44.7,169.15,46.11,99,100,2.08,NZ,1627681047
265,Belyy Yar,53.6039,91.3903,60.69,94,40,4.47,RU,1627681047
266,Tawang Town,27.5833,91.8667,57.02,97,99,0.69,IN,1627681048
267,Iquitos,-3.7481,-73.2472,77.04,61,75,5.75,PE,1627680896
268,Sterlitamak,53.6246,55.9502,63.68,82,42,3.65,RU,1627681049
269,Caravelas,-17.7125,-39.2481,67.55,77,100,11.27,BR,1627681032
270,Lázaro Cárdenas,17.9583,-102.2,85.55,69,74,7.58,MX,1627681050
271,Souillac,-20.5167,57.5167,70.18,64,40,12.66,MU,1627681050
272,Turukhansk,65.8167,87.9833,54.9,90,98,7.9,RU,1627681051
273,Porto Tolle,44.9497,12.3245,82.42,73,0,5.86,IT,1627681052
274,Anūpgarh,29.1911,73.2086,94.96,47,0,5.08,IN,1627681052
275,West Wendover,40.7391,-114.0733,85.21,37,1,8.05,US,1627681053
276,Winslow,35.0242,-110.6974,89.78,27,40,5.01,US,1627680875
277,Tadine,-21.55,167.8833,70.38,51,5,20.49,NC,1627681054
278,Constantine,36.365,6.6147,85.41,34,40,4.61,DZ,1627681055
279,Asău,46.4333,26.4,70.39,78,1,3.78,RO,1627681055
280,Kalabo,-14.97,22.6814,58.15,41,29,6.93,ZM,1627681056
281,São João da Barra,-21.6403,-41.0511,66.29,61,30,16.06,BR,1627681056
282,Killybegs,54.6333,-8.45,56.44,90,64,7.02,IE,1627681057
283,Kudahuvadhoo,2.6708,72.8944,81.93,72,100,2.86,MV,1627681058
284,Cockburn Town,21.4612,-71.1419,87.76,66,40,13.8,TC,1627681059
285,Létavértes,47.3833,21.9,75.45,47,0,6.82,HU,1627681059
286,San Cristobal,7.7669,-72.225,84.38,85,50,5.55,VE,1627681060
287,Sangar,63.9242,127.4739,61.16,49,31,3.58,RU,1627681061
288,Codrington,-38.2667,141.9667,49.95,78,47,13.62,AU,1627681061
289,Ternate,0.8,127.4,80.53,82,36,1.07,ID,1627681062
290,Faanui,-16.4833,-151.75,77.79,72,83,17.56,PF,1627681062
291,Shimoda,34.6667,138.95,76.1,84,79,7.38,JP,1627681063
292,Moosomin,50.1333,-101.6677,90.61,17,0,16.6,CA,1627681064
293,Waingapu,-9.6567,120.2641,72.16,83,11,6.29,ID,1627681064
294,Los Llanos de Aridane,28.6585,-17.9182,67.75,93,0,18.41,ES,1627681065
295,Misasi,-3.0,33.0833,73.4,45,48,13.42,TZ,1627681065
296,Leningradskiy,69.3833,178.4167,33.39,98,100,19.84,RU,1627681066
297,Tupik,54.4253,119.9327,51.78,83,12,4.34,RU,1627681067
298,Umeå,63.8284,20.2597,60.73,94,75,4.61,SE,1627681067
299,Saquarema,-22.92,-42.5103,68.14,67,73,11.92,BR,1627681068
300,Yerofey Pavlovich,53.9667,121.9667,55.54,76,95,2.71,RU,1627681068
301,Stephenville Crossing,48.5,-58.4318,64.53,68,75,11.5,CA,1627681069
302,Robe,-37.1833,139.75,57.16,84,94,21.12,AU,1627681070
303,São Félix do Xingu,-6.6447,-51.995,80.42,38,98,3.13,BR,1627681070
304,Illapel,-31.6308,-71.1653,61.95,47,0,3.31,CL,1627681071
305,Kiunga,-6.1219,141.2906,72.34,100,100,1.86,PG,1627681072
306,Saldanha,-33.0117,17.9442,51.85,84,3,7.07,ZA,1627681072
307,Port Lincoln,-34.7333,135.8667,55.38,93,82,6.17,AU,1627681043
308,Carballo,43.213,-8.691,62.55,84,92,5.88,ES,1627681073
309,Khovd,48.0056,91.6419,66.25,53,100,2.59,MN,1627681074
310,Hazorasp,41.3194,61.0742,71.44,16,92,9.19,UZ,1627681075
311,Bengkulu,-3.8004,102.2655,74.41,92,24,4.97,ID,1627681076
312,Meulaboh,4.1363,96.1285,76.53,86,100,2.3,ID,1627681076
313,Whitehorse,60.7161,-135.0538,75.09,26,20,15.01,CA,1627681046
314,Acajutla,13.5928,-89.8275,97.14,71,23,4.74,SV,1627681077
315,Ponta do Sol,32.6667,-17.1,73.71,78,12,5.64,PT,1627681078
316,Terrace,54.5163,-128.6035,85.91,42,20,0.0,CA,1627681078
317,Zharkovskiy,55.849,32.2697,62.04,73,60,6.89,RU,1627681079
318,Zhangaözen,43.3,52.8,79.84,30,0,7.81,KZ,1627681080
319,Merauke,-8.4667,140.3333,74.01,95,100,6.93,ID,1627681081
320,Mehamn,71.0357,27.8492,49.95,81,75,2.3,NO,1627681081
321,São Luís de Montes Belos,-16.525,-50.3722,66.07,25,0,6.02,BR,1627681082
322,Colac,-38.3333,143.5833,49.62,73,28,13.87,AU,1627681083
323,Touros,-5.1989,-35.4608,79.7,79,51,16.55,BR,1627681083
324,Provideniya,64.3833,-173.3,47.37,93,100,6.15,RU,1627681084
325,Port Keats,-14.25,129.55,71.67,88,2,2.1,AU,1627681084
326,Seoul,37.5683,126.9778,80.08,91,75,2.3,KR,1627681051
327,Phang Nga,8.4509,98.5298,82.9,95,100,4.5,TH,1627681085
328,Hopewell,37.3043,-77.2872,95.76,69,72,4.99,US,1627681086
329,Ahipara,-35.1667,173.1667,58.15,89,100,16.58,NZ,1627681086
330,Hirara,24.8,125.2833,79.07,100,75,13.8,JP,1627681087
331,Pangai,-19.8,-174.35,77.11,83,75,10.36,TO,1627681088
332,Wawa,9.9022,4.4192,72.91,91,97,1.54,NG,1627681088
333,Belawan,3.7755,98.6832,75.49,86,100,2.1,ID,1627681089
334,Rudnogorsk,57.2639,103.7519,57.15,97,8,0.63,RU,1627681089
335,Ankazoabo,-22.2833,44.5167,62.51,72,2,5.68,MG,1627681090
336,Tual,-5.6667,132.75,80.8,81,95,15.88,ID,1627681091
337,Adrian,41.8975,-84.0372,78.39,53,75,5.99,US,1627681091
338,Sesheke,-17.4759,24.2968,55.96,46,98,5.73,ZM,1627681092
339,Macao,22.2006,113.5461,84.13,84,20,10.36,MO,1627681085
340,San,13.3034,-4.8956,83.95,64,22,9.17,ML,1627681093
341,Makurdi,7.7411,8.5121,72.82,95,84,3.65,NG,1627681093
342,Atar,20.5169,-13.0499,97.16,20,19,5.7,MR,1627681094
343,Gronau,52.2,7.0333,65.57,85,4,1.01,DE,1627681094
344,San Andrés,12.5847,-81.7006,87.82,70,90,11.5,CO,1627681051
345,Diffa,13.3154,12.6113,81.27,65,59,10.27,NE,1627681096
346,Coquimbo,-29.9533,-71.3436,53.33,76,20,10.36,CL,1627680815
347,Cidreira,-30.1811,-50.2056,50.29,74,0,5.66,BR,1627681097
348,Sørland,67.667,12.6934,49.93,83,100,25.77,NO,1627681097
349,Khāsh,28.2211,61.2158,78.28,25,1,4.79,IR,1627681098
350,Dukat,62.55,155.55,41.58,72,80,4.79,RU,1627681098
351,Omsukchan,62.5333,155.8,43.74,71,84,7.29,RU,1627681099
352,Lompoc,34.6391,-120.4579,94.01,68,75,17.27,US,1627681099
353,Vostok,46.4856,135.8833,69.03,95,100,3.47,RU,1627681100
354,Necochea,-38.5473,-58.7368,54.03,49,0,16.75,AR,1627681101
355,Gornyak,50.9942,81.4661,51.13,58,0,2.01,RU,1627681101
356,Clyde River,70.4692,-68.5914,53.83,71,20,20.71,CA,1627681102
357,Cauayan,9.9718,122.6249,79.75,87,43,7.05,PH,1627681102
358,Skibotn,69.3913,20.2679,50.09,94,100,3.22,NO,1627681103
